parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
analysis_id,9l0uc56689a5jm8
mouse_life_stage,Early adult
pvalue,0.9593745
gene_symbol,Kdm4c
mouse_strain,C57BL
gene_accession_id,MGI:1924054
