analysis_id,a34vo5x89000pg2
mouse_strain,C57BL
parameter_name,Total food intake
pvalue,0.4982653
parameter_id,IMPC_CAL_008_001
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_life_stage,Early adult
