parameter_name,Optic Disc
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_023_001
mouse_strain,129SV
gene_symbol,Zmynd8
pvalue,0.2398641
analysis_id,o4k01icansdgo96
gene_accession_id,MGI:1918025
