analysis_id,170jkwe58irs92j
pvalue,0.2106434
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
gene_accession_id,MGI:104640
gene_symbol,Rab17
parameter_name,Calcium
