analysis_id,me715070k300lb3
gene_accession_id,MGI:1922855
mouse_strain,C57BL
parameter_name,Midbrain
mouse_life_stage,Early adult
gene_symbol,Kdm5b
parameter_id,IMPC_GEL_029_001
pvalue,0.661564
