analysis_id,93l7f88t98it435
parameter_id,MGP_IMM_125_001
gene_symbol,Bmp7
mouse_strain,C57BL
pvalue,0.3287175
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
