analysis_id,i9309341xv45309
parameter_id,ICS_FEA_016_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_name,% Freezing duration habituation-1
mouse_life_stage,Late adult
pvalue,0.8552639
mouse_strain,C57BL
