gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
analysis_id,9w17d5ktv7uq382
mouse_life_stage,Early adult
pvalue,0.8031447
