analysis_id,qs519rmo299o4i4
mouse_life_stage,Early adult
parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
gene_symbol,Rab3gap2
mouse_strain,C57BL
gene_accession_id,MGI:1916043
pvalue,0.5166168
