gene_symbol,Nipal3
analysis_id,80luj2b2063waeg
mouse_life_stage,Early adult
pvalue,0.5361736
parameter_id,ESLIM_011_001_007
gene_accession_id,MGI:1921802
mouse_strain,129SV
parameter_name,PP1 + pulse startle magnitude
