parameter_name,Alanine aminotransferase
analysis_id,2j7qh07h5u4d5y4
parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
gene_symbol,Bcs1l
mouse_life_stage,E9.5
pvalue,0.7743102
