gene_symbol,Ap5s1
gene_accession_id,MGI:1916846
mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
analysis_id,67bbz5z6unn7589
pvalue,0.8540697
parameter_name,Urea (Blood Urea Nitrogen - BUN)
mouse_life_stage,Early adult
