analysis_id,14e1ixmf4o067t5
mouse_life_stage,Early adult
pvalue,0.3693998
parameter_name,Latency to first transition into dark
mouse_strain,C53BL
gene_symbol,Gpbp1l1
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:1924360
