analysis_id,8bcsm26524ey8h5
pvalue,0.650479
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
mouse_strain,C57BL
