parameter_name,Eye
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
pvalue,0.3606683
mouse_life_stage,Early adult
analysis_id,7196h6qns1eg59q
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
