parameter_name,Shape of vertebrae
mouse_life_stage,Early adult
analysis_id,th99j7ou29po3zw
parameter_id,IMPC_XRY_018_001
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
pvalue,0.8933938
mouse_strain,C57BL
