gene_symbol,Med22
analysis_id,g01t230t4e5v117
mouse_life_stage,Early adult
pvalue,0.1158266
parameter_name,Clavicle
gene_accession_id,MGI:98446
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
