analysis_id,l3153b2j710rj39
gene_symbol,Dmap1
parameter_id,M-G-P_016_001_006
mouse_life_stage,Early adult
parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.2642166
gene_accession_id,MGI:1913483
mouse_strain,C57BL
