gene_symbol,Lrrc69
analysis_id,v54501umwi82owi
parameter_name,Number of rears - total
pvalue,0.3538283
parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:1920564
mouse_life_stage,Early adult
mouse_strain,C57BL
