analysis_id,v2yc55m8fu78u5r
mouse_strain,C57BL
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_id,MGP_IMM_066_001
mouse_life_stage,Early adult
pvalue,0.5460647
parameter_name,CD11b-high cDC - % of cDC
