analysis_id,y7ymm19vh5h2nhn
pvalue,0.172402
mouse_strain,C57BL
gene_symbol,Ncaph
mouse_life_stage,Early adult
parameter_id,MGP_IMM_020_001
gene_accession_id,MGI:2444777
parameter_name,Effector gd T cells - % of gd T cells
