analysis_id,7m17as719185a72
pvalue,0.1770741
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_007_001
parameter_name,BMC/Body weight
mouse_strain,C57BL
