parameter_name,Edema
analysis_id,i2qis1byc251y3u
pvalue,0.9027466
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
