analysis_id,77gze4xk9d159j7
mouse_life_stage,Early adult
parameter_name,Mean-corpuscular-haemoglobin
pvalue,0.5315832
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
mouse_strain,129SV
parameter_id,M-G-P_016_001_006
