parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.5771656
gene_accession_id,MGI:104640
mouse_strain,C57BL
gene_symbol,Rab17
analysis_id,1r4j1h4h7703050
parameter_id,IMPC_IMM_032_001
mouse_life_stage,Early adult
