analysis_id,7k2857445wbm3xa
mouse_strain,C57BL
parameter_name,Center average speed
parameter_id,HRWLLA_OFD_017_001
pvalue,0.1184368
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_life_stage,Early adult
