gene_symbol,Fgb
mouse_life_stage,E12.5
analysis_id,1f6f6343y603kb2
pvalue,0.5449009
gene_accession_id,MGI:99501
parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
