parameter_name,Sacral processes
pvalue,0.1746468
mouse_strain,C57BL
analysis_id,eu9x20oqb45ki82
gene_symbol,Ap5s1
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
