parameter_name,Shape of ribcage
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_id,IMPC_XRY_059_001
analysis_id,319152064tni6tt
mouse_strain,C57BL
pvalue,0.2564415
mouse_life_stage,Early adult
