analysis_id,v2ajq66e4alf42e
parameter_id,MGP_IMM_001_001
pvalue,0.2737978
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
