parameter_id,IMPC_FEA_106_001
pvalue,0.6083682
mouse_strain,C57BL
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:1929242
gene_symbol,Ivd
mouse_life_stage,Early adult
analysis_id,8ab0x5tlw4128c7
