parameter_id,JAXLA_HBD_001_001
analysis_id,lnx7604a9p11k18
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rnf114
parameter_name,Total holepokes
pvalue,0.3320859
gene_accession_id,MGI:1933159
