parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
pvalue,0.07397164
gene_symbol,Tubb4b
analysis_id,j445sx2rftprfun
parameter_name,Fractional Shortening
mouse_strain,C57BL
