analysis_id,61wy5th0w6yq7na
parameter_id,MGP_MLN_033_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
pvalue,0.7763282
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Car13
