gene_symbol,Med22
mouse_strain,C57BL
parameter_id,M-G-P_009_001_003
pvalue,0.2972431
parameter_name,Body weight
analysis_id,11uyj8278208i41
gene_accession_id,MGI:98446
mouse_life_stage,Early adult
