parameter_name,lens
pvalue,0.2826935
mouse_strain,C57BL
analysis_id,uevj4a8i255w22l
parameter_id,M-G-P_014_001_009
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
gene_symbol,Duoxa2
