analysis_id,to5wa0xa4dvu0fr
parameter_id,UCDLA_EYE_083_001
parameter_name,Vitreous
mouse_strain,C57BL
pvalue,0.3129779
mouse_life_stage,Late adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
