parameter_id,IMPC_CSD_011_001
mouse_strain,C57BL
parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
analysis_id,l1ym43f13wy22re
pvalue,0.9076193
mouse_life_stage,Early adult
