analysis_id,3atu2k0i126al07
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
parameter_name,CD11b-high cDC - % of cDC
mouse_strain,C57BL
gene_accession_id,MGI:1917604
pvalue,0.5220485
parameter_id,MGP_IMM_066_001
