gene_symbol,Wars2
analysis_id,11z599yj51kr313
parameter_name,BMC/Body weight
pvalue,0.2744508
parameter_id,IMPC_DXA_007_001
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1917810
