analysis_id,0zfr33xd9ov3s22
pvalue,0.1538009
parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
parameter_name,Tibia length
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
gene_symbol,Kifap3
