analysis_id,07m8s9nph414nf8
mouse_strain,C57BL
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_007_001
pvalue,0.6141466
gene_symbol,Lpgat1
parameter_name,Whole arena resting time
