analysis_id,mw0yb1t0y9w1398
gene_symbol,Cntfr
mouse_life_stage,Early adult
parameter_name,Response amplitude - S
gene_accession_id,MGI:99605
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
pvalue,0.5093333
