gene_symbol,Atf3
pvalue,0.9975443
mouse_strain,C57BL
gene_accession_id,MGI:109384
parameter_id,IMPC_IMM_071_001
analysis_id,hiwhg6o122whhg1
parameter_name,MZB (CD21/35 high)
mouse_life_stage,Early adult
