analysis_id,ycha9605035qcak
gene_symbol,Dcaf12
mouse_strain,C57BL
pvalue,0.7724543
mouse_life_stage,Early adult
parameter_id,MGP_IMM_007_001
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1916220
