gene_symbol,Pex19
analysis_id,3by7157z3m0nmpq
parameter_id,IMPC_EYE_001_001
pvalue,0.1033401
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,Eye
gene_accession_id,MGI:1334458
