parameter_name,Creatinine
mouse_strain,C57BL
parameter_id,JAX_URI_002_001
gene_accession_id,MGI:2446186
analysis_id,zks9fnl2ml77s64
mouse_life_stage,Early adult
pvalue,0.2061377
gene_symbol,Lpgat1
