parameter_name,Hindlimbs - shape
analysis_id,r1rv2f90z01nr36
pvalue,0.889915
gene_symbol,Rab22a
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
