gene_symbol,AU040320
parameter_id,MGP_MLN_021_001
mouse_life_stage,Late adult
pvalue,0.5310634
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,7t39t738k12opdq
mouse_strain,C57BL
gene_accession_id,MGI:2140475
