analysis_id,6623m64o3h6p487
gene_accession_id,MGI:2685266
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_017
parameter_name,Limb grasping
gene_symbol,Pglyrp3
pvalue,0.1139
