gene_symbol,Hrnr
mouse_strain,C57BL
analysis_id,75p1zd2713ih9u0
gene_accession_id,MGI:3046938
parameter_name,Lens Opacity
mouse_life_stage,Early adult
pvalue,0.3174247
parameter_id,IMPC_EYE_017_001
