gene_symbol,Trpa1
analysis_id,9zj0h9g47i710wp
parameter_id,JAXLA_EYE_092_001
pvalue,0.8821468
mouse_strain,C57BL
parameter_name,Retina (combined)
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
