analysis_id,3gfzo391vdov52s
pvalue,0.09233412
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
