gene_symbol,Cds2
parameter_id,IMPC_CBC_058_001
parameter_name,Cholesterol ratio
analysis_id,j4866av6h9qoc2f
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.4916606
gene_accession_id,MGI:1332236
