gene_symbol,Morn5
gene_accession_id,MGI:1922745
pvalue,0.2961395
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,i8tfr3806b4rj8m
parameter_name,Periphery resting time
parameter_id,ESLIM_007_001_007
