analysis_id,2bl70r54r2092mh
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_019_001
pvalue,0.9837987
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
parameter_name,Mean platelet volume
mouse_strain,C57BL
