gene_symbol,Zfp683
pvalue,0.2541978
parameter_name,Tibia
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
analysis_id,uyil81d5cr56j0t
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
