gene_symbol,Rufy4
pvalue,0.95261
gene_accession_id,MGI:3588214
analysis_id,lsyp63ko1m9k80w
mouse_strain,C54BL
parameter_id,MGP_IMM_081_001
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
