analysis_id,1dx2802ub5una4r
gene_symbol,Secisbp2l
pvalue,0.2372874
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1917604
