parameter_name,Embryo Size
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
analysis_id,wjs86blw2k625ym
parameter_id,IMPC_GEO_019_001
pvalue,0.6323805
mouse_life_stage,Early adult
mouse_strain,C57BL
