gene_symbol,Tiprl
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:1915087
pvalue,0.0978424
mouse_strain,C57BL
analysis_id,0ay2jxrplss8tve
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
