parameter_name,Hematocrit
parameter_id,IMPC_HEM_004_001
analysis_id,l1437b0700g2p9s
pvalue,0.07345446
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
mouse_strain,129SV
gene_symbol,Nipal3
