analysis_id,a2g1l59z6mjv6b4
parameter_name,Lean/Body weight
gene_symbol,Hpca
pvalue,0.9942014
parameter_id,IMPC_DXA_008_001
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
mouse_strain,C57BL
