analysis_id,391n3jca8pf215e
gene_symbol,Abo
mouse_life_stage,Early adult
pvalue,0.5952453
gene_accession_id,MGI:2135738
mouse_strain,C57BL
parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
